,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
MTNR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.14147907,2.9639316,0.0,0.15090357,1.357138,0.0,1.9064646,0.0,0.0,0.11855123,0.0,0.29008874,0.60848504,1.5026237
INSR,0.35534075,0.0,0.0,0.0,0.0,0.0,0.0,0.22926986,0.0,0.05120702,0.0,0.0,0.2880721,0.17597754,0.0,0.43857622,0.033645626,0.0,0.0,0.014503944
LRP2,0.33236,0.0,0.0,0.0,0.0,0.51261306,0.0,0.4682566,0.0,0.080898784,0.0,0.0,0.0,0.56562394,0.0,0.723973,0.46447378,0.0,0.0958814,0.0
ALOX5,1.4971094,0.66057324,0.0,0.0,0.052411385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.485856,0.0,0.0,0.0,0.0,0.0
LAMP1,0.43595743,0.0,0.0,0.4695425,0.0,0.4455793,0.0,0.7031315,0.02739402,0.0,0.0,0.0,0.45808607,0.12215826,0.0,0.39413756,0.19619197,0.24956605,0.03750445,0.6258476
ACVR1,0.18917038,0.0,0.0,0.0,0.0,0.0,0.0,0.5023683,0.40635312,0.0,0.0,0.0,0.0,0.24760808,0.0,0.027556969,0.0,0.0,0.36587495,0.0
EGFR,1.0042717,0.0,0.0,0.0,0.0,0.0,0.0,0.8069231,0.0,0.0,0.0,0.0,0.0,0.0,0.23796834,0.22458977,0.0,0.0,0.23737781,0.0
ITGA5,0.0,0.0,0.0,0.0,0.57739633,0.0,0.0,0.0,0.0,0.0,0.9514248,0.0,0.23949936,0.0,0.012399004,0.8530485,0.0,0.0,1.045091,0.0
ITGB1,0.41063538,0.0,0.0,0.49843088,0.0,0.0,0.0,0.0,0.0,0.0,1.3341922,0.0,0.97858906,0.0,0.0,0.0,0.0,2.342979,0.0,0.0
TEK,2.5209842,0.0,0.0,0.0,0.0,0.0,0.0,0.55299383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE1,1.1749353,0.0,0.33798197,0.0,0.0,0.15921827,0.0,1.1550914,0.0,0.0,0.0,0.0,0.5148292,0.0,0.0,0.0,0.018399343,0.10402096,0.0,0.648934
TEK,2.5209842,0.0,0.0,0.0,0.0,0.0,0.0,0.55299383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE1,1.1749353,0.0,0.33798197,0.0,0.0,0.15921827,0.0,1.1550914,0.0,0.0,0.0,0.0,0.5148292,0.0,0.0,0.0,0.018399343,0.10402096,0.0,0.648934
TEK,2.5209842,0.0,0.0,0.0,0.0,0.0,0.0,0.55299383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIE1,1.1749353,0.0,0.33798197,0.0,0.0,0.15921827,0.0,1.1550914,0.0,0.0,0.0,0.0,0.5148292,0.0,0.0,0.0,0.018399343,0.10402096,0.0,0.648934
ITGA5,0.0,0.0,0.0,0.0,0.57739633,0.0,0.0,0.0,0.0,0.0,0.9514248,0.0,0.23949936,0.0,0.012399004,0.8530485,0.0,0.0,1.045091,0.0
ITGAV,0.119384654,0.0,0.0,1.724067,0.0,0.47636506,0.0,0.0,0.7504991,0.0,0.0,0.0,1.781737,0.0,0.0,0.0,2.1052997,0.664195,0.0,0.0
ITGB3,0.2559513,0.0,0.32705802,0.0,0.09201931,0.0,0.0,0.23562539,0.45909578,0.0,0.0,0.0,0.0,0.97491175,0.0,0.43665838,0.33493546,0.0,0.0,0.3661567
TIE1,1.1749353,0.0,0.33798197,0.0,0.0,0.15921827,0.0,1.1550914,0.0,0.0,0.0,0.0,0.5148292,0.0,0.0,0.0,0.018399343,0.10402096,0.0,0.648934
FGFR1,0.25777373,0.0,0.0,2.2933943,0.11795919,0.0,0.9794546,0.0,0.0,0.0,0.5442789,0.0,2.2929964,0.0,0.0,0.0,0.45258832,3.1273842,0.0,0.0
SDC2,0.0,0.0,0.0,0.0,0.55060977,0.0,0.0,0.0,0.0,0.57534635,0.3684153,0.0,1.4553324,1.6262647,0.0,0.0,0.0,1.2010038,2.4431498,0.0
ADRA2A,0.0,0.76808566,0.85040253,0.22624724,0.0,0.0,0.0,0.0,0.9829202,0.5183091,2.369202,0.0,0.0,2.021548,0.0,0.0,1.9986315,0.31049782,0.0,0.098561056
DYSF,0.0877763,0.69398344,0.0,0.0,0.0,0.3295716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49277785,0.0,0.50730884,0.0,0.10515533,0.0,0.0
EGFR,1.0042717,0.0,0.0,0.0,0.0,0.0,0.0,0.8069231,0.0,0.0,0.0,0.0,0.0,0.0,0.23796834,0.22458977,0.0,0.0,0.23737781,0.0
FPR1,0.38337636,0.13516,0.22424416,0.0,0.0,0.13545072,0.0,0.6148249,0.0,0.11657556,0.0,0.0,0.0,0.53623664,0.19898601,0.31665587,0.049470972,0.41559705,0.27690518,0.19366993
FPR2,1.2828795,0.22106299,0.0,0.0,0.23847054,0.0,0.0,0.0,0.73012525,0.0,0.0,0.02616755,0.0,0.3084677,0.0,0.014836331,0.0,0.0,0.28791648,0.0
FPR3,0.0,1.8647958,0.0,0.0,2.1698134,0.0,0.0,0.0,0.0,0.0,0.0,0.34517893,0.002035877,1.5348041,0.0,0.0,0.0,0.0,1.1061263,0.0
GRM7,0.41261148,0.097387515,0.0,0.0,0.0,0.56644607,0.0,0.24733451,0.0,0.0,0.0,0.0,0.0,0.014609655,0.6484069,1.1630998,1.046394,0.0,0.0,0.0
MTNR1A,0.0,0.0,0.0,0.0,0.0,0.0,0.14147907,2.9639316,0.0,0.15090357,1.357138,0.0,1.9064646,0.0,0.0,0.11855123,0.0,0.29008874,0.60848504,1.5026237
ADRA2A,0.0,0.76808566,0.85040253,0.22624724,0.0,0.0,0.0,0.0,0.9829202,0.5183091,2.369202,0.0,0.0,2.021548,0.0,0.0,1.9986315,0.31049782,0.0,0.098561056
APLNR,0.30324674,0.0,2.6902797,0.0,1.7850449,0.0,1.0942951,0.0141632045,0.0,2.4742768,0.0,1.1222544,0.0,0.0,2.2843885,0.0,1.7772515,0.16993146,0.0,0.0
